source_id,raw_field_name,raw_field_known,current_parser_reads_field,current_parser_usage,retained_as_independent_normalized_field,normalized_field_name,derived_normalized_fields,exposed_fastapi,exposed_mcp,exposed_frontend,exposed_conversation_context,proposed_normalized_field_name,deterministic_metric_enabled,semantic_caveat,evidence_files,evidence_symbol_or_function,evidence_confidence,dropped_status,dropped_reason_category,dropped_reason_detail,dropped_decision_evidence,dropped_decision_status,reintroduction_priority,reintroduction_blockers
TWSE_MIS,z,yes,yes,preferred current/last price candidate via _select_mis_price,yes,price_like_value/value when selected,[],yes,yes,yes,yes,last_price,change/change_percent after previous_close retained,not official realtime; may be placeholder,"[""scripts/m5k_common.py"", ""scripts/observation_contract.py"", ""docs/protocol/TWSE_MIS_FIELD_DICTIONARY.md""]",_select_mis_price; normalize_twse_mis_row,confirmed_from_code,not_dropped,not_applicable,Retained as current price-like value when numeric.,scripts/m5k_common.py; scripts/observation_contract.py; docs/protocol/TWSE_MIS_FIELD_DICTIONARY.md; _select_mis_price; normalize_twse_mis_row,implicit_from_current_code,defer,[]
TWSE_MIS,y,yes,yes,fallback price_like_value when z unavailable; reference_value_only status,no,,[],no,no,no,no,previous_close,change/change_percent,reference/previous-close candidate is not independently exposed today,"[""scripts/m5k_common.py"", ""scripts/observation_contract.py"", ""docs/protocol/TWSE_MIS_FIELD_DICTIONARY.md""]",_select_mis_price; normalize_twse_mis_row,confirmed_from_code,consumed_not_retained,original_scope_minimal_price_only,Code uses y only as fallback when z is unavailable and does not retain an independent previous_close field; no explicit drop decision found beyond current minimal price/freshness scope.,scripts/m5k_common.py; scripts/observation_contract.py; docs/protocol/TWSE_MIS_FIELD_DICTIONARY.md; _select_mis_price; normalize_twse_mis_row,implicit_from_current_code,M7A_high,"[""add independent previous_close tests"", ""preserve reference-only caveat""]"
TWSE_MIS,o,yes,no,not read by current parser,no,,[],no,no,no,no,open,change_from_open_percent,known raw field but semantics/consumer use require caveats,"[""docs/protocol/TWSE_MIS_FIELD_DICTIONARY.md"", ""scripts/observation_contract.py""]",Raw field dictionary; normalize_twse_mis_row,confirmed_from_contract,fetched_but_not_parsed,original_scope_minimal_price_only,"Raw field is documented, but current normalize_twse_mis_row selects z/y and timestamp fields only; no explicit repo decision found to independently normalize o.",docs/protocol/TWSE_MIS_FIELD_DICTIONARY.md; scripts/observation_contract.py; Raw field dictionary; normalize_twse_mis_row,implicit_from_current_code,M7A_high,"[""confirm placeholder semantics"", ""add normalization tests""]"
TWSE_MIS,h,yes,no,not read by current parser,no,,[],no,no,no,no,high,range/position_in_day_range,known raw field but semantics/consumer use require caveats,"[""docs/protocol/TWSE_MIS_FIELD_DICTIONARY.md"", ""scripts/observation_contract.py""]",Raw field dictionary; normalize_twse_mis_row,confirmed_from_contract,fetched_but_not_parsed,original_scope_minimal_price_only,"Raw field is documented, but current normalize_twse_mis_row selects z/y and timestamp fields only; no explicit repo decision found to independently normalize h.",docs/protocol/TWSE_MIS_FIELD_DICTIONARY.md; scripts/observation_contract.py; Raw field dictionary; normalize_twse_mis_row,implicit_from_current_code,M7A_high,"[""confirm numeric placeholder semantics"", ""add normalization tests""]"
TWSE_MIS,l,yes,no,not read by current parser,no,,[],no,no,no,no,low,range/position_in_day_range,known raw field but semantics/consumer use require caveats,"[""docs/protocol/TWSE_MIS_FIELD_DICTIONARY.md"", ""scripts/observation_contract.py""]",Raw field dictionary; normalize_twse_mis_row,confirmed_from_contract,fetched_but_not_parsed,original_scope_minimal_price_only,"Raw field is documented, but current normalize_twse_mis_row selects z/y and timestamp fields only; no explicit repo decision found to independently normalize l.",docs/protocol/TWSE_MIS_FIELD_DICTIONARY.md; scripts/observation_contract.py; Raw field dictionary; normalize_twse_mis_row,implicit_from_current_code,M7A_high,"[""confirm numeric placeholder semantics"", ""add normalization tests""]"
TWSE_MIS,v,yes,no,not read by current parser,no,,[],no,no,no,no,cumulative_volume,volume context,known raw field but semantics/consumer use require caveats,"[""docs/protocol/TWSE_MIS_FIELD_DICTIONARY.md"", ""scripts/observation_contract.py""]",Raw field dictionary; normalize_twse_mis_row,confirmed_from_contract,fetched_but_not_parsed,unit_not_verified,"Raw field is documented, but current normalize_twse_mis_row selects z/y and timestamp fields only; no explicit repo decision found to independently normalize v.",docs/protocol/TWSE_MIS_FIELD_DICTIONARY.md; scripts/observation_contract.py; Raw field dictionary; normalize_twse_mis_row,no_clear_decision_found,M7A_high,"[""validate unit semantics before labeling shares/lots""]"
TWSE_MIS,tv,yes,no,not read by current parser,no,,[],no,no,no,no,latest_trade_volume,latest trade volume context,known raw field but semantics/consumer use require caveats,"[""docs/protocol/TWSE_MIS_FIELD_DICTIONARY.md"", ""scripts/observation_contract.py""]",Raw field dictionary; normalize_twse_mis_row,confirmed_from_contract,fetched_but_not_parsed,unit_not_verified,"Raw field is documented, but current normalize_twse_mis_row selects z/y and timestamp fields only; no explicit repo decision found to independently normalize tv.",docs/protocol/TWSE_MIS_FIELD_DICTIONARY.md; scripts/observation_contract.py; Raw field dictionary; normalize_twse_mis_row,no_clear_decision_found,M7A_high,"[""validate unit semantics and placeholder behavior""]"
TWSE_MIS,b,yes,no,not read by current parser,no,,[],no,no,no,no,bid_prices,spread/displayed_depth,known raw field but semantics/consumer use require caveats,"[""docs/protocol/TWSE_MIS_FIELD_DICTIONARY.md"", ""scripts/observation_contract.py""]",Raw field dictionary; normalize_twse_mis_row,confirmed_from_contract,fetched_but_not_parsed,semantic_not_verified,"Raw field is documented, but current normalize_twse_mis_row selects z/y and timestamp fields only; no explicit repo decision found to independently normalize b.",docs/protocol/TWSE_MIS_FIELD_DICTIONARY.md; scripts/observation_contract.py; Raw field dictionary; normalize_twse_mis_row,no_clear_decision_found,M7A_high,"[""parse ladder safely"", ""describe only as displayed depth snapshot""]"
TWSE_MIS,g,yes,no,not read by current parser,no,,[],no,no,no,no,bid_volumes,top5_bid_volume,known raw field but semantics/consumer use require caveats,"[""docs/protocol/TWSE_MIS_FIELD_DICTIONARY.md"", ""scripts/observation_contract.py""]",Raw field dictionary; normalize_twse_mis_row,confirmed_from_contract,fetched_but_not_parsed,semantic_not_verified,"Raw field is documented, but current normalize_twse_mis_row selects z/y and timestamp fields only; no explicit repo decision found to independently normalize g.",docs/protocol/TWSE_MIS_FIELD_DICTIONARY.md; scripts/observation_contract.py; Raw field dictionary; normalize_twse_mis_row,no_clear_decision_found,M7A_high,"[""validate ladder volume unit"", ""avoid pressure/flow wording""]"
TWSE_MIS,a,yes,no,not read by current parser,no,,[],no,no,no,no,ask_prices,spread/displayed_depth,known raw field but semantics/consumer use require caveats,"[""docs/protocol/TWSE_MIS_FIELD_DICTIONARY.md"", ""scripts/observation_contract.py""]",Raw field dictionary; normalize_twse_mis_row,confirmed_from_contract,fetched_but_not_parsed,semantic_not_verified,"Raw field is documented, but current normalize_twse_mis_row selects z/y and timestamp fields only; no explicit repo decision found to independently normalize a.",docs/protocol/TWSE_MIS_FIELD_DICTIONARY.md; scripts/observation_contract.py; Raw field dictionary; normalize_twse_mis_row,no_clear_decision_found,M7A_high,"[""parse ladder safely"", ""describe only as displayed depth snapshot""]"
